StudyDescription	Modality	platform	frequency
Abdomen^24ACRIN_Colo_IRB2415-04 (Adult)	CT, nan	IDC,TCIA	202
CHEST AP VIEW ONLY	CR, nan	IDC,TCIA,MIDRC	199
MRI BRAIN W/INJ/MHDI	MR, SEG, nan	IDC,TCIA	198
CR DIAG-PORTABLE CHEST	CR	MIDRC	195
Abdomen CT Routine+Enhanced	CT, nan	IDC,TCIA	194
CT CHEST ABDOMEN PELVIS W CONTRAST	CT, SEG, nan	IDC,TCIA,MIDRC	189
Thorax^CHEST_WO (Adult)	CT, nan	IDC,TCIA,MIDRC	188
MAMMO 3D SCREEN BILAT	MG	ACRdart,IDC	188
CHEST	CR, DX, CT, SEG, nan	IDC,TCIA,MIDRC	188
MR BREAST RESEARCH EXAM	MR	ACRdart,IDC	187
Thorax^PE (Adult)	CT	MIDRC	186
CT CAP	RTSTRUCT, CT, SEG, nan	IDC,TCIA	182
mediastinal_lymph_nodes	SEG, nan	IDC,TCIA	180
CT THORAX	CT, SEG, nan	IDC,TCIA,AIMI	179
CHEST W/CONTRAST (CT)-CS	CT	MIDRC	179
abdominal_lymph_nodes	SEG, nan	IDC,TCIA	172
Avanto RoutineHead	RTDOSE, RTSTRUCT, RTPLAN, MR, nan	IDC,TCIA	168
MRI PROSTATE WITH AND WITHOUT CONTRAST	MR, nan	IDC,TCIA	168
MAMMO SCREENING DIGITAL BIALTERAL	MG, nan	IDC,TCIA	164
CT CHEST ABDOMEN PELVIS WO CONTRAST (ROUTINE)	CT	MIDRC	163
MRI BREAST BI W/WO CONTRAST	MR	ACRdart,IDC	162
CT CHEST ABDOMEN PELVI	RTSTRUCT, CT, SEG, nan	IDC,TCIA,MIDRC	162
CT CH/ABD/PEL W/ CONTRAST	CT, SEG, nan	IDC,TCIA	160
Pancreas	SEG, nan	IDC,TCIA	160
MC prostaat kliniek detectie-mc MCPROSKL30	MR, SEG, nan	IDC,TCIA	158
MAMMO SCREENING BREAST TOMOSYNTHESIS	MG, nan	IDC,TCIA	156
BRST BILAT SCREENING MAMMO W/ TOMO	MG	ACRdart,IDC	155
MAMMO TOMOGRAPHY SCREENING BILATERAL	MG	ACRdart,IDC	150
HUP5 PROTOCOLS^BREAST	MR, SEG, nan	IDC,TCIA	144
Abdomen^ACRIN_COLON_USE (Adult)	CT, nan	IDC,TCIA	142
MRI BREAST UNI 1ST EXA	MR, nan	IDC,TCIA	142
Head^DE_HEAD_WITHOUT_Customized (Adult)	CT	MIDRC	141
MR HEAD W AND WO IV CONTRAST TUMOR HIGH GRADE	MR, SEG, nan	IDC,TCIA	140
CT CHEST ABDOMEN PELVIS W CONTRAST (TRAUMA)	CT	MIDRC	140
MRI BREAST SCREENING AB BILATERAL WITH AND WITHOUT CONTRAST	MR	ACRdart,IDC	140
MAMMOGRAM SCREENING BILATERAL W/TOMOSYNTHESIS	MG	ACRdart,IDC	138
Abdomen^ABD_PEL_WITH (Adult)	RTSTRUCT, CT, nan	IDC,TCIA,MIDRC	138
CTA PE CHEST W	CT	MIDRC	137
MAMMO SCREENING TOMOSYNTHESIS - BILATERAL	MG	ACRdart,IDC	137
MRM	MR, nan	IDC,TCIA	136
CHEST INSPIR/EXPIR (RAD)-CS	CR, DX	MIDRC	135
MRM 6667	MR, nan	IDC,TCIA	134
MAMMO TOMOSYNTHESIS SCREENING WITH 2D MAMMOGRAM BILATERAL	MG	ACRdart,IDC	133
3-D Tomo Mammogram	MG	ACRdart,IDC	133
MRI Breast Bilateral with and without Contrast	MR, nan	IDC,TCIA	132
Thorax^CHEST_WITHOUT (Adult)	CT	MIDRC	127
MR BREAST BIL SCREENING WO W CONTRAST	MR	ACRdart,IDC	125
BREAST^AB-MRI STUDY	MR	ACRdart,IDC	124
MR HEAD W AND WO IV CONTRAST TUMOR FOLLOWUP WITH PERFUSION PERME	MR, SEG, nan	IDC,TCIA	124
Diagnostic Pre-Surgery Contrast Enhanced CT	CT, nan	IDC,TCIA	122
MAMMOGRAM/ULTRASOUND EXAM	US	ACRdart	120
breast^standard	MR, nan	IDC,TCIA	120
CT ABDOMEN w & PELVIS w	CT, SEG, nan	IDC,TCIA	120
CHEST 1 VIEW PA/AP PORTABLE	CR	MIDRC	119
Head^ROUTINE_DE_HEAD (Adult)	CT	MIDRC	119
BREAST^ROUTINE DYNAMICS	MR, SEG, nan	IDC,TCIA	118
Abdomen^02_0_AP_Routine (Adult)	CT, nan	IDC,TCIA	118
MR BREAST BILAT W OR WO	MR, nan	IDC,TCIA	118
MAMMO DIAGNOSTIC DIGITAL BILATERAL	MG, nan	IDC,TCIA	116
Thorax^FLASH_CHEST_WO (Adult)	CT	MIDRC	115
Preop	MR, SEG	IDC	114
Intraop	US, MR, SEG	IDC	114
Radiomics Phantom	nan	TCIA	113
BRAIN W/O STROKE PROTOCOL-CS	CT	MIDRC	112
MRI CLINICAL SPECTROSCOPY	MR, SEG, nan	IDC,TCIA	112
Thorax^DE_CHEST_PE_Customized (Adult)	CT	MIDRC	110
BREAST  W/O followed by W CONTRAST, BILATERAL	MR, SEG, nan	IDC,TCIA	109
FDG 5AFOV TORSO	CT, SEG, PT, nan	IDC,TCIA	109
CT INFUSED CHEST	SEG, nan	IDC,TCIA	108
Unspecified CT	CT, nan	IDC,TCIA	108
CT ANGIO CHEST W	CT	MIDRC	108
CHEST PORTABLE	CR, DX	MIDRC	108
Head^CT_HEAD_WO (Adult)	CT	MIDRC	107
CTA CHEST-CS	CT	MIDRC	107
MR BREASTS ABBREV WO W	MR	ACRdart,IDC	105
DIG SCR TOMO MAM BIL	MG	ACRdart,IDC	105
CT ANGIO ABD WITH CH AND PEL	SEG, nan	IDC,TCIA	104
BREAST^ROUTINE	MR, SEG, nan	IDC,TCIA,ACRdart	104
THORAX PE	CT, nan	IDC,TCIA,MIDRC	100
MAMMO DIGITAL TOMOSYNTHESIS SCREENING BILATERAL	MG	ACRdart,IDC	100
Abdomen^1 ACRIN PRONE COLONOGRAPHY	CT, nan	IDC,TCIA	100
MAMMO+3D SCREEN	MG	ACRdart,IDC	100
CT_Chest	CT, nan	IDC,TCIA	99
01_PM_Thorax_Plain(Adult)	CT	MIDRC	98
Thorax^AThoraxRoutine (Adult)	CT, nan	IDC,TCIA	98
PET^03_Wholebody_First_Head (Adult)	CT, SEG, PT, nan	IDC,TCIA	96
CTA CHEST PULMONARY ANGIOGRAPHY W CONTRAST	CT	MIDRC	96
CT ABDOMEN PELVIS WO CONTRAST (ROUTINE)	CT	MIDRC	96
MAMMOGRAPHY-SCREENING-TOMO-BILAT	MG	ACRdart,IDC	95
Standard Screening - Combo	MG, MR	ACRdart,IDC	95
MR BREAST BILAT W OR WO CA	MR, nan	IDC,TCIA	94
CTC	CT, nan	IDC,TCIA	94
HEAD^ROUTINE	MR, SEG, nan	IDC,TCIA	94
Abdomen^CT_AP_WITH (Adult)	CT	MIDRC	92
BREAST^ACRIN STUDY	MR, nan	IDC,TCIA	92
CT ANGIOGRAM CHEST	CT, nan	IDC,TCIA,MIDRC	90
three_phase__abdomen	SEG, nan	IDC,TCIA	90
CT ANGIO CHEST WWO	CT	MIDRC	90
CHEST 1 VIEW ICU	DX	MIDRC	89
MR BREAST BILAT W AND W/O CONT-DR	MR, SEG, nan	IDC,TCIA	88
PET CT with registered MR	RTSTRUCT, CT, PT, MR, nan	IDC,TCIA	88
MRI BREAST BILATERAL ABBREVIATED STUDY	MR	ACRdart,IDC	87
BREAST W/O followed by W CONTRAST, UNILAT	MR, SEG, nan	IDC,TCIA	86
MRI RESEARCH AB BREAST BILAT LIMITED W AND WO CONT ECH	MR	ACRdart,IDC	86
BREAST MRI	MR, nan	IDC,TCIA	86
*CT ABDOMEN & PELVIS	CT, nan	IDC,TCIA	86
CT ABDOMEN w + PELVIS w	CT, SEG, nan	IDC,TCIA	86
MAMSCTOMO	MG	ACRdart,IDC	85
BREAST^7 CHANNEL WHITE COIL ROUTINE FOV 320	MR	ACRdart,IDC	84
Abdomen^3_COLONOGRAPHY	CT, nan	IDC,TCIA	84
MAMMO TOMO SCREEN BILAT	MG	ACRdart,IDC	84
CT CHEST W/O CONTRAST	CT, SEG, nan	IDC,TCIA,MIDRC	84
PET F-18 NaF Bone Scan	CT, PT, nan	IDC,TCIA	82
CT ANGIOGRAPHY NECK AND HEAD	CT	MIDRC	82
CT ABD W/CONT  RECONSTRUCTION	CT, nan	IDC,TCIA	82
0	CR, DX, MG, MR	IDC,MIDRC	81
MAM Dig Breast Screen Tomosynthesis	MG	ACRdart,IDC	81
DG CHEST 2V	CR, DX	MIDRC	80
CHEST 2 VIEW	DX, nan	IDC,TCIA	78
CT CHEST WO IV CONTRAST	CT	MIDRC,AIMI	78
XR KUB, FLAT PLATE, ABDOMEN 1 VIEW	CR, DX	MIDRC	78
MR BREAST BILAT W+WO	MR	ACRdart	78
MRI BREAST RESEARCH	MR	ACRdart,IDC	77
BODY^BREAST	MR, nan	ACRdart,TCIA,IDC	74
abdomen_pelvis__w	SEG, nan	IDC,TCIA	74
RESSONANCIA MAGNETICA DE ABDOME INFERIOR	MR, nan	IDC,TCIA	74
MRI BREAST ABBREVIATED BILATERAL W/WO CONTRAST	MR	ACRdart,IDC	74
BREAST^LESION  DETECTION	MR	ACRdart,IDC	74
Unspecified CT CHEST	CT, nan	TCIA,MIDRC	74
Abdomen^14_SUPINE_COLON (Adult)	CT, nan	IDC,TCIA	74
CTA CHEST ABDOMEN PELVIS WWO	CT	MIDRC	73
CT ABDOMEN/PELVIS WITH CONTRAST	CT	MIDRC	73
abdomen__w	SEG, nan	IDC,TCIA	72
Infinity-1 Treat:Tx Plan	CT, nan	IDC,TCIA	72
CT ABDOMEN PELVIS W CONT	CT, nan	IDC,TCIA	72
Thorax^04_0_CAP_Routine (Adult)	CT, SEG, nan	IDC,TCIA	72
CT CHEST WITH IV CONTRAST	CT	MIDRC	71
CT CHEST AND UPPER ABD W	CT	MIDRC	70
LUNG	CT, SEG, PT, nan	IDC,TCIA	68
CT CHEST ABDOMEN PELVIS WO CONTRAST	CT	MIDRC	68
PET^01_PThead_lung (Adult)	CT, nan	IDC,TCIA	68
Chest children	DX	MIDRC	67
PET/CT Lung Cancer	CT, SEG, nan	IDC,TCIA	66
MR ACRN STUDY	MR, nan	IDC,TCIA	66
SCREENING CT COLONOGRA	CT, nan	IDC,TCIA	66
MR Breast Research Gra	MR, SEG	IDC	66
Thorax^CT_CAP_WITH (Adult)	CT	MIDRC	65
CT ABDOMEN	CT, SEG, nan	IDC,TCIA,MIDRC	65
PR CHEST 1 VIEW	CR	MIDRC	65
CT CHEST O CONTR	CT, SEG, nan	IDC,TCIA	64
CT CARDIAC CTA CORONARY	CT, nan	IDC,TCIA	64
PET^1PETCT_WholeBody (Adult)	CT, SEG, nan	IDC,TCIA	64
Thorax^ThoraxPETCT1	CT, SEG, PT, nan	IDC,TCIA	64
CHEST ROUTINE PA AP AND LATERAL	CR, nan	IDC,TCIA,MIDRC	64
MRMAM	MR	ACRdart,IDC	64
Standard Screening - ComboHD	MG	ACRdart,IDC	64
Tomo HD BDS	MG, CT	ACRdart,IDC	63
Thorax^CHEST_WO_GR (Adult)	CT	MIDRC	62
CHEST ROUTINE	CR, DX	MIDRC	62
BREAST^ROUTINE DYNAMIC	MR, SEG, nan	IDC,TCIA	62
MR PELVIS IMAGE IMPORT	MR, nan	IDC,TCIA	62
MRI BREAST W/ + W/O CONTRAST BILATERAL	MR	ACRdart,IDC	62
Thorax^CHEST_WITH (Adult)	CT	MIDRC	61
Abdomen^ABDOMEN_PELVIS_W_ROUTINE (Adult)	CT	MIDRC	61
three_phase__abdomen_pelvis	SEG, nan	IDC,TCIA	60
Research 1^breast	MR, nan	IDC,TCIA	60
JCCI CT CHEST	CT	MIDRC	60
MR1	REG, RTSTRUCT, MR, nan	IDC,TCIA	60
CHEST WO(Adult)	CT	MIDRC	59
ULTRASOUND	US	ACRdart	59
Bladder CT	CT, nan	IDC,TCIA	58
CT CHEST W/O IV CON	CT	MIDRC	58
CT ANGIO CHEST PULM EMBOLISM	CT	MIDRC	57
CT THORAX PE EXAM	CT	MIDRC	57
MRI Breast Bilateral wo then w Contrast	MR	ACRdart,IDC	57
MR2	RTSTRUCT, REG, MR, nan	IDC,TCIA	56
GBM_intracranial	MR, nan	IDC,TCIA	56
PELVIS^PROSTATE	MR, nan	IDC,TCIA	56
BRAIN BRAIN TUMOR	MR, SEG, nan	IDC,TCIA	56
Thorax^XL_PE_Customized (Adult)	CT	MIDRC	55
EC BREAST SCREENING-BILATERAL WITH CAD	MG	ACRdart,IDC	55
MRI BREAST, BILATERAL WITH T WITHOUT CONTRAST	MR, nan	IDC,TCIA	55
MR Breast Research Gr?	MR, SEG	IDC	55
MRI Breast w w o Contrast bilat (Birad)	MR	ACRdart,IDC	55
CT ABDOMEN AND PELVIS WITH CONTRAST	RTSTRUCT, CT, nan	IDC,TCIA,MIDRC	55
Abdomen^STONE_STUDY_FULL (Adult)	CT	MIDRC	55
BREAST^MASS PROTOCAL	MR, nan	IDC,TCIA	54
MR3	RTSTRUCT, REG, MR, nan	IDC,TCIA	54
Abdomen^17_Supine_and_Prone_Colon (Adult)	CT, nan	IDC,TCIA	54
PANCREAS	RTSTRUCT, CT, nan	IDC,TCIA	54
Thorax^ROUTINE_CHEST_WITHOUT (Adult)	CT	MIDRC	54
HEAD^BRAIN TUMOR	MR, SEG, nan	IDC,TCIA	54
CT ANGIO LIVER WITH CH/PEL	SEG, nan	IDC,TCIA	54
Thorax^GH_ThoraxRoutine (Adult)	CT	MIDRC	53
MIEDNICA	RTSTRUCT, MR, nan	IDC,TCIA	52
CT AbdPelvis	CT, nan	IDC,TCIA	52
Abdomen^1_ACRIN_COLON (Adult)	CT, nan	IDC,TCIA	52
CT, COLONOGRAPHY SCREE	CT, nan	IDC,TCIA	52
Abdomen^02_0_Abdomen_Routine (Adult)	CT, nan	IDC,TCIA	52
CT Chest	CT, SEG, nan	IDC,TCIA	52
Thorax^CHEST_ABD_PEL_WITH (Adult)	CT	MIDRC	52
CT PE CHEST	CT, nan	IDC,TCIA,MIDRC	51
DIGITAL MAMM SCREENING W/ TOMO	MG	ACRdart,IDC	51
Thorax^FLASH_PE (Adult)	CT	MIDRC	51
CT CHEST ABDOMEN PELVIS WO	CT	MIDRC	50
66671F	MR, nan	IDC,TCIA	50
CT CH/AB/PEL KIDNEY PROTOCOL	CT, SEG, nan	IDC,TCIA	50
Thorax^CT_CHEST_WITHOUT (Adult)	CT	MIDRC	50
MR BREAST FAST BILATERAL	MR	ACRdart,IDC	50
BRAIN^STEALTH	MR, SEG, nan	IDC,TCIA	50
lung+c	CT, SEG, nan	IDC,TCIA	50
MR HEAD FUNCTIONAL MOTOR LANGUAGE	MR, SEG, nan	IDC,TCIA	50
Abdomen^22 COLON SUPINE	CT, nan	IDC,TCIA	50
Abdomen^Brzuch_3fazy_Adult (Adult)	RTSTRUCT, CT, nan	IDC,TCIA	50
MRI Prostate ERC	MR, nan	IDC,TCIA	50
MR BREAST BILATERAL WITH/WITHOUT CONTRAST	MR	ACRdart,IDC	49
Thorax^ROUTINE_CHEST_ABD_PEL_WITH (Adult)	CT	MIDRC	48
LUNG+C	CT, SEG, nan	IDC,TCIA	48
CT THORAX W/O DYE	SEG, nan	IDC,TCIA	48
ACRIN6667-RESEARCH	MR, nan	IDC,TCIA	48
MRI Abd wo&w	MR, nan	IDC,TCIA	48
ABDOMEN SUPINE KUB	CR, DX, nan	IDC,TCIA,MIDRC	48
CT_AbdPel	CT, nan	IDC,TCIA	48
CT CHEST W CONT	CT, nan	IDC,TCIA,MIDRC	48
MAMM TOMO SCREEN DIGITAL BILAT	MG	ACRdart,IDC	47
PET CT MID BODY	CT, SEG, PT, nan	IDC,TCIA	47
Thorax^XL_PE (Adult)	CT	MIDRC	47
Head^DE_HEAD_WITHOUT (Adult)	CT	MIDRC	47
BREAST^LESION	MR, nan	ACRdart,TCIA,IDC	47
H DIGITAL SCREEN/TOMO, CVIEW & CAD	MG	ACRdart,IDC	46
Abdomen^1_ROUTINE_CAP (Adult)	CT	MIDRC	46
CT CODE STROKE (BRAIN WO, CTA, PERFUSION)	CT	MIDRC	46
IMR BREAST W/O & W/BILATERAL	MR, nan	IDC,TCIA	46
MR PELVIS, OUTSIDE IMAGING	SEG, nan	IDC,TCIA	46
TRANSTHORACIC ECHO	US	MIDRC	46
CT_AbdPelvis	CT, nan	IDC,TCIA	46
CT FACE SINUSES WO CONTRAST	CT	MIDRC	45
CT CHEST W IV CONTRAST	RTSTRUCT, CT, nan	IDC,TCIA,MIDRC	44
Abdomen^01ACRINColonographySupine	CT, nan	IDC,TCIA	44
CT GUIDED LUNG B	CT, SEG, nan	IDC,TCIA	44
CT RENAL Mass	CT, SEG, nan	IDC,TCIA	44
Abdomen^1_COLONOGRAPHY (Adult)	CT, nan	IDC,TCIA	44
LUNG CA	CT, SEG, PT, nan	IDC,TCIA	44
CT Thorax	CT, SEG, nan	IDC,TCIA	44
MRI BREAST ABBREVIATED	MR	ACRdart,IDC	44
Unknown	US	ACRdart	43
MR BREAST, BILATERAL W/WO CONT	MR	ACRdart,IDC	43
RT^RT_RespLowBreathRateRNS (Adult)	RWV, CT, PT, nan	IDC,TCIA	42
MR BREAST	MR, SEG, nan	IDC,TCIA	42
THORAX/ABDOMEN/PELVIS + CONT	CT, nan	IDC,TCIA,MIDRC	42
lung	CT, SEG, PT, nan	IDC,TCIA	42
MR BREAST BILAT W AND W-O CONT -DR	MR, SEG, nan	IDC,TCIA	42
MRI BRAIN WITH INJ - MHDI	MR, SEG, nan	IDC,TCIA	42
CHEST 2 VIEWS (ROUTINE)	CR	MIDRC	42
CCR Phantom	nan	TCIA	41
Thorax^CHEST_ABD_PEL_WO (Adult)	CT	MIDRC	41
XR P PORT ABDOMEN AP 1 VIEW	CR	MIDRC	41
Thorax^XL_CHEST_WO (Adult)	CT	MIDRC	41
Breast CE	MR, nan	IDC,TCIA	40
HEAD^FUNCTIONAL	MR, SEG, nan	IDC,TCIA	40
Spine^SPINE_BONE_SBRT (Adult)	CT, SEG, nan	IDC,TCIA	40
CT AB/PEL KIDNEY PROTOCOL	CT, SEG, nan	IDC,TCIA	40
MR Breast Bi w/wo contrast	MR	ACRdart,IDC	40
Abdomen^12_0_Liver_BiPhase (Adult)	CT, SEG, nan	IDC,TCIA	40
CT THORAX WITH CONTRAST	RTSTRUCT, CT, SEG, nan	IDC,TCIA,MIDRC	40
PET/CT	CT, SEG, PT, nan	IDC,TCIA	40
PET CT LUNG CANCER	SEG, nan	IDC,TCIA	40
_t1of3  External Images for PACS	MR, nan	IDC,TCIA	40
PET1	CT, PT, nan	IDC,TCIA	40
PET2	CT, PT, nan	IDC,TCIA	40
MAM Tomo Screening	MG	ACRdart,IDC	40
PET^03_CBM_Wholebody_First_Head (Adult)	CT, SEG, PT, nan	IDC,TCIA	40
CT Thorax W/ Contrast	CT	MIDRC	39
BREAST^16 Channel Coil	MR	ACRdart,IDC	39
CTA CORONARY	CT	MIDRC	39
BREAST^EA1141 - AB MRI ECOG-ACRIN	MR	ACRdart,IDC	39
MA MAMMOGRAM SCREENING BILATERAL W/TOMO	MG	ACRdart	39
CT DIAGN VIRT COLONOSCOPY	CT, nan	IDC,TCIA	38
CT COLONOGRAPHY SCREEN	CT, nan	IDC,TCIA	38
MR SCREENING BREAST WANDW/O CONTRAST	MR	ACRdart,IDC	38
CTA PULMONARY EMBOLUS	CT	MIDRC	38
PET3	CT, PT, nan	IDC,TCIA	38
X-RAY LUMBOSACRAL SPINE 2 OR 3 VIEWS	CR, DX	MIDRC	38
FORFILE CT ABD AND/OR PEL - CD	CT, SEG, nan	IDC,TCIA	38
Abdomen^ABD_PEL_WO (Adult)	CT	MIDRC	38
CT CHEST	CT, SEG, nan	IDC,TCIA,MIDRC	37
MRI BREAST BILATERAL	MR, SEG, nan	IDC,TCIA,ACRdart	37
CT ABDOMEN PELVIS WO CONTRAST (STONE)	CT	MIDRC	37
CTA CHEST PULMONARY EMBOLISM	CT	MIDRC	37
Thorax^DE_PE (Adult)	CT	MIDRC	37
MRI ABD W+WO CONT	MR, nan	IDC,TCIA	36
PETCT SUBSEQUENT TREAT	SEG, nan	IDC,TCIA	36
